data_ulist_id,link,name,country,battle_rating,silver,rank,vehicle_category,type,required_exp
attaker_fb1,https://wiki.warthunder.ru/unit/attaker_fb1,Attacker FB.1,britain,7.0,270000,V,Авиация,vehicle,95000
avenger_mk1,https://wiki.warthunder.ru/unit/avenger_mk1,▄Avenger Mk.II,britain,1.7,,II,Авиация,vehicle,
attaker_fb2,https://wiki.warthunder.ru/unit/attaker_fb2,Attacker FB.2,britain,7.0,,V,Авиация,vehicle,
a6m2_zero_china,https://wiki.warthunder.ru/unit/a6m2_zero_china,␗A6M2,china,3.7,,III,Авиация,vehicle,
alpha_jet_e,https://wiki.warthunder.ru/unit/alpha_jet_e,Alpha Jet E,france,8.7,520000,VI,Авиация,vehicle,190000
a-35b,https://wiki.warthunder.ru/unit/a-35b,▄A-35B,france,2.7,22000,II,Авиация,vehicle,11000
alpha_jet_a,https://wiki.warthunder.ru/unit/alpha_jet_a,Alpha Jet A,germany,8.7,450000,VI,Авиация,vehicle,160000
arado-234,https://wiki.warthunder.ru/unit/arado-234,Ar 234 B-2,germany,6.3,240000,V,Авиация,vehicle,82000
arado-234c-3,https://wiki.warthunder.ru/unit/arado-234c-3,Ar 234 C-3,germany,7.3,270000,V,Авиация,vehicle,48000
arado-196a-3,https://wiki.warthunder.ru/unit/arado-196a-3,Ar 196 A-3,germany,1.3,,I,Авиация,vehicle,
amx,https://wiki.warthunder.ru/unit/amx,AMX,italy,10.7,830000,VII,Авиация,vehicle,300000
av_8b_plus_italy,https://wiki.warthunder.ru/unit/av_8b_plus_italy,▄AV-8B Plus,italy,13.0,1100000,VIII,Авиация,vehicle,410000
ariete,https://wiki.warthunder.ru/unit/ariete,Ariete,italy,9.3,,VI,Авиация,vehicle,
amx_a_1a_brazil,https://wiki.warthunder.ru/unit/amx_a_1a_brazil,AMX A-1A,italy,11.0,,VII,Авиация,vehicle,
a5m4,https://wiki.warthunder.ru/unit/a5m4,A5M4,japan,1.3,2100,I,Авиация,vehicle,4000
a6m2_n_zero,https://wiki.warthunder.ru/unit/a6m2_n_zero,A6M2-N,japan,2.3,10000,II,Авиация,vehicle,7900
a6m2_mod11,https://wiki.warthunder.ru/unit/a6m2_mod11,A6M2 mod. 11,japan,3.7,16000,II,Авиация,vehicle,9200
a6m2_zero,https://wiki.warthunder.ru/unit/a6m2_zero,A6M2,japan,3.7,22000,II,Авиация,vehicle,5600
a6m3_zero,https://wiki.warthunder.ru/unit/a6m3_zero,A6M3,japan,4.0,47000,III,Авиация,vehicle,18000
a6m3_mod22_zero,https://wiki.warthunder.ru/unit/a6m3_mod22_zero,A6M3 mod. 22,japan,4.3,76000,III,Авиация,vehicle,13000
a6m3_mod22ko_zero,https://wiki.warthunder.ru/unit/a6m3_mod22ko_zero,A6M3 mod. 22Ko,japan,5.0,105000,III,Авиация,vehicle,17000
a6m5_zero,https://wiki.warthunder.ru/unit/a6m5_zero,A6M5,japan,5.0,76000,III,Авиация,vehicle,26000
a6m5otsu,https://wiki.warthunder.ru/unit/a6m5otsu,A6M5 otsu,japan,5.3,155000,IV,Авиация,vehicle,46000
a6m5hei,https://wiki.warthunder.ru/unit/a6m5hei,A6M5 Hei,japan,5.0,185000,IV,Авиация,vehicle,27000
a7m2,https://wiki.warthunder.ru/unit/a7m2,A7M2,japan,5.3,185000,IV,Авиация,vehicle,54000
a5m4_hagiri,https://wiki.warthunder.ru/unit/a5m4_hagiri,A5M4 Хагири,japan,1.3,,I,Авиация,vehicle,
a7he1,https://wiki.warthunder.ru/unit/a7he1,A7He1,japan,2.0,,II,Авиация,vehicle,
a7m1,https://wiki.warthunder.ru/unit/a7m1,A7M1 (NK9H),japan,5.0,,IV,Авиация,vehicle,
a6m6c,https://wiki.warthunder.ru/unit/a6m6c,A6M6c,japan,5.0,,IV,Авиация,vehicle,
a6m5ko,https://wiki.warthunder.ru/unit/a6m5ko,A6M5 Ко,japan,5.3,,IV,Авиация,vehicle,
arado-196a-5,https://wiki.warthunder.ru/unit/arado-196a-5,▄Ar 196 A-5,sweden,1.3,,I,Авиация,vehicle,
a-20g,https://wiki.warthunder.ru/unit/a-20g,A-20G-25,usa,2.7,16000,II,Авиация,vehicle,9200
a-26b_10,https://wiki.warthunder.ru/unit/a-26b_10,A-26B-10,usa,5.0,155000,IV,Авиация,vehicle,46000
a-26b,https://wiki.warthunder.ru/unit/a-26b,A-26B-50,usa,5.3,185000,IV,Авиация,vehicle,27000
am_1_mauler,https://wiki.warthunder.ru/unit/am_1_mauler,AM-1,usa,5.7,210000,IV,Авиация,vehicle,35000
av_8c,https://wiki.warthunder.ru/unit/av_8c,AV-8C,usa,9.7,620000,VI,Авиация,vehicle,220000
av_8b_plus,https://wiki.warthunder.ru/unit/av_8b_plus,AV-8B Plus,usa,13.0,1100000,VIII,Авиация,vehicle,410000
a6m2_zero_usa,https://wiki.warthunder.ru/unit/a6m2_zero_usa,▃A6M2,usa,3.7,,III,Авиация,vehicle,
av_8a,https://wiki.warthunder.ru/unit/av_8a,AV-8A,usa,9.7,,VI,Авиация,vehicle,
a_10a_early,https://wiki.warthunder.ru/unit/a_10a_early,A-10A,usa,10.3,,VI,Авиация,vehicle,
a-26c,https://wiki.warthunder.ru/unit/a-26c,A-26C-45,usa,5.3,,IV,Авиация,vehicle,
a-26c-45-dt,https://wiki.warthunder.ru/unit/a-26c-45-dt,A-26C-45DT,usa,5.3,,IV,Авиация,vehicle,
a2d,https://wiki.warthunder.ru/unit/a2d,A2D-1,usa,7.0,,V,Авиация,vehicle,
ar_2,https://wiki.warthunder.ru/unit/ar_2,Ар-2,ussr,2.3,6300,I,Авиация,vehicle,5900
av_8b_na,https://wiki.warthunder.ru/unit/av_8b_na,AV-8B (NA),usa,11.3,,VII,Авиация,vehicle,
av_8s_thailand,https://wiki.warthunder.ru/unit/av_8s_thailand,▄AV-8S,japan,9.7,,VI,Авиация,vehicle,
av_8s_late_thailand,https://wiki.warthunder.ru/unit/av_8s_late_thailand,▄AV-8S Late,japan,11.0,830000,VII,Авиация,vehicle,300000
alpha_jet_a_thailand,https://wiki.warthunder.ru/unit/alpha_jet_a_thailand,▄Alpha Jet A,japan,8.7,450000,VI,Авиация,vehicle,160000
alpha_jet_th_phase_1,https://wiki.warthunder.ru/unit/alpha_jet_th_phase_1,▄Alpha Jet TH,japan,10.7,520000,VI,Авиация,vehicle,190000
beaufort_mkviii,https://wiki.warthunder.ru/unit/beaufort_mkviii,Beaufort Mk.VIII,britain,1.7,6300,I,Авиация,vehicle,3000
beaufighter_mk6c,https://wiki.warthunder.ru/unit/beaufighter_mk6c,Beaufighter Mk.VIc,britain,3.0,16000,II,Авиация,vehicle,9200
beaufighter_mkx,https://wiki.warthunder.ru/unit/beaufighter_mkx,Beaufighter Mk.X,britain,3.0,22000,II,Авиация,vehicle,5600
beaufighter_mk21,https://wiki.warthunder.ru/unit/beaufighter_mk21,Beaufighter Mk.21,britain,3.7,32000,II,Авиация,vehicle,6900
beaufighter_mk1_40mm,https://wiki.warthunder.ru/unit/beaufighter_mk1_40mm,Beaufighter Mk I (40-mm),britain,2.3,,II,Авиация,vehicle,
a_29_hudson,https://wiki.warthunder.ru/unit/a_29_hudson,A-29,china,2.0,10000,II,Авиация,vehicle,7900
a_5c,https://wiki.warthunder.ru/unit/a_5c,A-5C,china,10.7,,VII,Авиация,vehicle,
bf-109b_2,https://wiki.warthunder.ru/unit/bf-109b_2,Bf 109 B-1,germany,1.3,700,I,Авиация,vehicle,2900
bf-109c_1,https://wiki.warthunder.ru/unit/bf-109c_1,Bf 109 C-1,germany,1.7,2100,I,Авиация,vehicle,4000
bf-109e-1,https://wiki.warthunder.ru/unit/bf-109e-1,Bf 109 E-1,germany,2.3,10000,II,Авиация,vehicle,7900
bf-109e-3,https://wiki.warthunder.ru/unit/bf-109e-3,Bf 109 E-3,germany,2.3,16000,II,Авиация,vehicle,9200
bf-109e-4,https://wiki.warthunder.ru/unit/bf-109e-4,Bf 109 E-4,germany,3.0,22000,II,Авиация,vehicle,5600
bf-109f-1,https://wiki.warthunder.ru/unit/bf-109f-1,Bf 109 F-1,germany,2.7,22000,II,Авиация,vehicle,11000
bf-109f-2,https://wiki.warthunder.ru/unit/bf-109f-2,Bf 109 F-2,germany,3.0,32000,II,Авиация,vehicle,6900
bf-109f-4,https://wiki.warthunder.ru/unit/bf-109f-4,Bf 109 F-4,germany,4.0,47000,III,Авиация,vehicle,18000
bf-109a_1,https://wiki.warthunder.ru/unit/bf-109a_1,Bf 109 A Флегеля,germany,1.3,,I,Авиация,vehicle,
bf-109e-7,https://wiki.warthunder.ru/unit/bf-109e-7,Bf 109 E-7/U2,germany,3.0,,II,Авиация,vehicle,
a_4h,https://wiki.warthunder.ru/unit/a_4h,A-4H,israel,8.3,380000,VI,Авиация,vehicle,135000
a_4e_early_iaf,https://wiki.warthunder.ru/unit/a_4e_early_iaf,A-4E Early (M),israel,8.7,520000,VI,Авиация,vehicle,94000
a_4n,https://wiki.warthunder.ru/unit/a_4n,Ayit,israel,9.3,620000,VI,Авиация,vehicle,220000
b-17g_iaf,https://wiki.warthunder.ru/unit/b-17g_iaf,B-17G,israel,5.0,200000,IV,Авиация,vehicle,63000
a_4e_late_iaf,https://wiki.warthunder.ru/unit/a_4e_late_iaf,A-4E,israel,8.7,,VI,Авиация,vehicle,
ba_65_k14_l,https://wiki.warthunder.ru/unit/ba_65_k14_l,Ba.65 (K.14) L,italy,1.3,700,I,Авиация,vehicle,2900
b5n2,https://wiki.warthunder.ru/unit/b5n2,B5N2,japan,1.3,700,I,Авиация,vehicle,2900
b6n1,https://wiki.warthunder.ru/unit/b6n1,B6N1 Model 11,japan,1.7,6300,I,Авиация,vehicle,5900
b6n2,https://wiki.warthunder.ru/unit/b6n2,B6N2 Model 12,japan,2.3,10000,II,Авиация,vehicle,7900
b6n2a,https://wiki.warthunder.ru/unit/b6n2a,B6N2a Model 12Ko,japan,2.3,16000,II,Авиация,vehicle,4600
b7a2,https://wiki.warthunder.ru/unit/b7a2,B7A2,japan,3.7,76000,III,Авиация,vehicle,26000
b-17e_japan,https://wiki.warthunder.ru/unit/b-17e_japan,▅B-17E,japan,4.7,,IV,Авиация,vehicle,
bf-109e-3_japan,https://wiki.warthunder.ru/unit/bf-109e-3_japan,▅Bf 109 E-7,japan,3.0,,II,Авиация,vehicle,
b7a2_homare_23,https://wiki.warthunder.ru/unit/b7a2_homare_23,B7A2 (Homare 23),japan,3.7,,III,Авиация,vehicle,
a_4b,https://wiki.warthunder.ru/unit/a_4b,A-4B,usa,8.7,380000,VI,Авиация,vehicle,135000
a_10a_late,https://wiki.warthunder.ru/unit/a_10a_late,A-10A Late,usa,10.7,710000,VII,Авиация,vehicle,260000
a_7d,https://wiki.warthunder.ru/unit/a_7d,A-7D,usa,10.3,830000,VII,Авиация,vehicle,300000
